id,pid,type,x,y,attr,person,img_id,hidden
0,-1,Root,0,0,bronze sculpture of women in standing posture,0,Tamil Nadu Chola_I100.png,True
1,0,Forehead,537,494,,0,Tamil Nadu Chola_I100.png,False
2,1,Nose,534,548,,0,Tamil Nadu Chola_I100.png,False
3,1,Mouth,539,577,,0,Tamil Nadu Chola_I100.png,False
4,1,Left Eye,577,507,,0,Tamil Nadu Chola_I100.png,False
5,1,Right Eye,494,512,,0,Tamil Nadu Chola_I100.png,False
6,1,Left Ear,611,566,,0,Tamil Nadu Chola_I100.png,False
7,1,Right Ear,426,552,,0,Tamil Nadu Chola_I100.png,False
8,1,Left Shoulder,614,657,,0,Tamil Nadu Chola_I100.png,False
9,8,Left Elbow,648,920,,0,Tamil Nadu Chola_I100.png,False
10,9,Left Wrist,652,1105,,0,Tamil Nadu Chola_I100.png,False
11,1,Right Shoulder,407,650,,0,Tamil Nadu Chola_I100.png,False
12,11,Right Elbow,283,883,,0,Tamil Nadu Chola_I100.png,False
13,12,Right Wrist,249,868,,0,Tamil Nadu Chola_I100.png,False
14,1,Left Hip,521,963,,0,Tamil Nadu Chola_I100.png,False
15,14,Left Knee,543,1312,,0,Tamil Nadu Chola_I100.png,False
16,15,Left Ankle,548,1576,,0,Tamil Nadu Chola_I100.png,False
17,1,Right Hip,386,907,,0,Tamil Nadu Chola_I100.png,False
18,17,Right Knee,381,1299,,0,Tamil Nadu Chola_I100.png,False
19,18,Right Ankle,446,1568,,0,Tamil Nadu Chola_I100.png,False
0,-1,Root,0,0,Stone Sulpture of Indian god  in sitting position,0,Tamil Nadu Chola_I101.png,True
1,0,Forehead,166,101,,0,Tamil Nadu Chola_I101.png,False
2,1,Nose,165,122,,0,Tamil Nadu Chola_I101.png,False
3,1,Mouth,168,137,,0,Tamil Nadu Chola_I101.png,False
4,1,Left Eye,182,109,,0,Tamil Nadu Chola_I101.png,False
5,1,Right Eye,152,110,,0,Tamil Nadu Chola_I101.png,False
6,1,Left Ear,207,133,,0,Tamil Nadu Chola_I101.png,False
7,1,Right Ear,132,135,,0,Tamil Nadu Chola_I101.png,False
8,1,Left Shoulder,235,170,,0,Tamil Nadu Chola_I101.png,False
9,8,Left Elbow,300,235,,0,Tamil Nadu Chola_I101.png,False
10,9,Left Wrist,358,327,,0,Tamil Nadu Chola_I101.png,False
11,1,Right Shoulder,97,184,,0,Tamil Nadu Chola_I101.png,False
12,11,Right Elbow,79,246,,0,Tamil Nadu Chola_I101.png,False
13,12,Right Wrist,68,272,,0,Tamil Nadu Chola_I101.png,False
14,1,Left Hip,212,297,,0,Tamil Nadu Chola_I101.png,False
15,14,Left Knee,292,266,,0,Tamil Nadu Chola_I101.png,False
16,15,Left Ankle,264,364,,0,Tamil Nadu Chola_I101.png,True
17,1,Right Hip,141,306,,0,Tamil Nadu Chola_I101.png,False
18,17,Right Knee,50,351,,0,Tamil Nadu Chola_I101.png,False
19,18,Right Ankle,176,369,,0,Tamil Nadu Chola_I101.png,False
0,-1,Root,0,0,Indian Goddess probably durga ,0,Tamil Nadu Chola_I102.png,True
1,0,Forehead,114,106,,0,Tamil Nadu Chola_I102.png,False
2,1,Nose,112,125,,0,Tamil Nadu Chola_I102.png,False
3,1,Mouth,109,135,,0,Tamil Nadu Chola_I102.png,False
4,1,Left Eye,124,116,,0,Tamil Nadu Chola_I102.png,False
5,1,Right Eye,103,111,,0,Tamil Nadu Chola_I102.png,False
6,1,Left Ear,131,125,,0,Tamil Nadu Chola_I102.png,False
7,1,Right Ear,87,126,,0,Tamil Nadu Chola_I102.png,False
8,1,Left Shoulder,140,152,,0,Tamil Nadu Chola_I102.png,False
9,8,Left Elbow,153,197,,0,Tamil Nadu Chola_I102.png,False
10,9,Left Wrist,173,170,,0,Tamil Nadu Chola_I102.png,False
11,1,Right Shoulder,73,151,,0,Tamil Nadu Chola_I102.png,False
12,11,Right Elbow,60,197,,0,Tamil Nadu Chola_I102.png,False
13,12,Right Wrist,65,220,,0,Tamil Nadu Chola_I102.png,False
14,1,Left Hip,142,213,,0,Tamil Nadu Chola_I102.png,False
15,14,Left Knee,187,200,,0,Tamil Nadu Chola_I102.png,False
16,15,Left Ankle,158,258,,0,Tamil Nadu Chola_I102.png,False
17,1,Right Hip,105,226,,0,Tamil Nadu Chola_I102.png,False
18,17,Right Knee,87,277,,0,Tamil Nadu Chola_I102.png,False
19,18,Right Ankle,117,320,,0,Tamil Nadu Chola_I102.png,False
0,-1,Root,0,0,Metal  sculpture of Indian women standing on the right corner,0,Tamil Nadu Chola_I103.png,True
1,0,Forehead,80,96,,0,Tamil Nadu Chola_I103.png,False
2,1,Nose,80,108,,0,Tamil Nadu Chola_I103.png,False
3,1,Mouth,82,116,,0,Tamil Nadu Chola_I103.png,False
4,1,Left Eye,87,102,,0,Tamil Nadu Chola_I103.png,False
5,1,Right Eye,74,102,,0,Tamil Nadu Chola_I103.png,False
6,1,Left Ear,96,114,,0,Tamil Nadu Chola_I103.png,False
7,1,Right Ear,66,113,,0,Tamil Nadu Chola_I103.png,False
8,1,Left Shoulder,105,132,,0,Tamil Nadu Chola_I103.png,False
9,8,Left Elbow,122,180,,0,Tamil Nadu Chola_I103.png,False
10,9,Left Wrist,110,176,,0,Tamil Nadu Chola_I103.png,False
11,1,Right Shoulder,55,133,,0,Tamil Nadu Chola_I103.png,False
12,11,Right Elbow,38,180,,0,Tamil Nadu Chola_I103.png,False
13,12,Right Wrist,18,218,,0,Tamil Nadu Chola_I103.png,False
14,1,Left Hip,91,193,,0,Tamil Nadu Chola_I103.png,False
15,14,Left Knee,98,267,,0,Tamil Nadu Chola_I103.png,False
16,15,Left Ankle,100,322,,0,Tamil Nadu Chola_I103.png,False
17,1,Right Hip,60,188,,0,Tamil Nadu Chola_I103.png,False
18,17,Right Knee,63,270,,0,Tamil Nadu Chola_I103.png,False
19,18,Right Ankle,75,320,,0,Tamil Nadu Chola_I103.png,False
0,-1,Root,0,0,Stone craved sculpture of indian god standing posture,0,Tamil Nadu Chola_I104.png,True
1,0,Forehead,433,332,,0,Tamil Nadu Chola_I104.png,False
2,1,Nose,416,359,,0,Tamil Nadu Chola_I104.png,False
3,1,Mouth,403,375,,0,Tamil Nadu Chola_I104.png,False
4,1,Left Eye,435,352,,0,Tamil Nadu Chola_I104.png,False
5,1,Right Eye,412,336,,0,Tamil Nadu Chola_I104.png,False
6,1,Left Ear,431,383,,0,Tamil Nadu Chola_I104.png,True
7,1,Right Ear,375,350,,0,Tamil Nadu Chola_I104.png,False
