id,pid,type,x,y,attr,person,img_id,hidden
0,-1,Root,0,0,bronze statue of Indian god in Nataraja pose,0,Tamil Nadu Chola_I141.png,True
1,0,Forehead,262,139,,0,Tamil Nadu Chola_I141.png,False
2,1,Nose,266,163,,0,Tamil Nadu Chola_I141.png,False
3,1,Mouth,264,174,,0,Tamil Nadu Chola_I141.png,False
4,1,Left Eye,275,149,,0,Tamil Nadu Chola_I141.png,False
5,1,Right Eye,248,145,,0,Tamil Nadu Chola_I141.png,False
6,1,Left Ear,286,149,,0,Tamil Nadu Chola_I141.png,False
7,1,Right Ear,226,145,,0,Tamil Nadu Chola_I141.png,False
8,1,Left Shoulder,301,205,,0,Tamil Nadu Chola_I141.png,False
9,8,Left Elbow,225,247,,0,Tamil Nadu Chola_I141.png,False
10,9,Left Wrist,152,272,,0,Tamil Nadu Chola_I141.png,False
11,8,Left Elbow,389,272,,0,Tamil Nadu Chola_I141.png,False
12,11,Left Wrist,432,227,,0,Tamil Nadu Chola_I141.png,False
13,1,Right Shoulder,188,206,,0,Tamil Nadu Chola_I141.png,False
14,13,Right Elbow,103,263,,0,Tamil Nadu Chola_I141.png,False
15,14,Right Wrist,134,255,,0,Tamil Nadu Chola_I141.png,False
16,13,Right Elbow,122,236,,0,Tamil Nadu Chola_I141.png,False
17,16,Right Wrist,70,204,,0,Tamil Nadu Chola_I141.png,False
18,1,Left Hip,308,304,,0,Tamil Nadu Chola_I141.png,False
19,18,Left Knee,215,322,,0,Tamil Nadu Chola_I141.png,False
20,19,Left Ankle,129,412,,0,Tamil Nadu Chola_I141.png,False
21,1,Right Hip,243,318,,0,Tamil Nadu Chola_I141.png,True
22,21,Right Knee,182,440,,0,Tamil Nadu Chola_I141.png,False
23,22,Right Ankle,238,538,,0,Tamil Nadu Chola_I141.png,False
0,-1,Root,0,0,Indian diety standing on a baby figure.,1,Tamil Nadu Chola_I141.png,True
1,0,Forehead,166,547,,1,Tamil Nadu Chola_I141.png,False
2,1,Nose,178,558,,1,Tamil Nadu Chola_I141.png,False
3,1,Mouth,182,561,,1,Tamil Nadu Chola_I141.png,False
4,1,Left Eye,176,551,,1,Tamil Nadu Chola_I141.png,False
5,1,Right Eye,167,561,,1,Tamil Nadu Chola_I141.png,False
6,1,Left Shoulder,205,566,,1,Tamil Nadu Chola_I141.png,False
7,6,Left Elbow,213,585,,1,Tamil Nadu Chola_I141.png,False
8,7,Left Wrist,201,593,,1,Tamil Nadu Chola_I141.png,False
9,1,Left Hip,260,555,,1,Tamil Nadu Chola_I141.png,False
10,9,Left Knee,253,575,,1,Tamil Nadu Chola_I141.png,False
11,10,Left Ankle,245,591,,1,Tamil Nadu Chola_I141.png,False
12,1,Right Hip,269,564,,1,Tamil Nadu Chola_I141.png,True
13,12,Right Knee,275,587,,1,Tamil Nadu Chola_I141.png,False
14,13,Right Ankle,293,564,,1,Tamil Nadu Chola_I141.png,False
0,-1,Root,0,0,Stone statute of Indian deity probably Shiva in standing position,0,Tamil Nadu Chola_I142.png,True
1,0,Forehead,693,273,,0,Tamil Nadu Chola_I142.png,False
2,1,Nose,722,412,,0,Tamil Nadu Chola_I142.png,False
3,1,Mouth,713,500,,0,Tamil Nadu Chola_I142.png,False
4,1,Left Eye,781,377,,0,Tamil Nadu Chola_I142.png,False
5,1,Right Eye,594,367,,0,Tamil Nadu Chola_I142.png,False
6,1,Left Ear,857,421,,0,Tamil Nadu Chola_I142.png,False
7,1,Right Ear,424,438,,0,Tamil Nadu Chola_I142.png,False
8,1,Right Shoulder,158,879,,0,Tamil Nadu Chola_I142.png,False
0,-1,Root,0,0,Stone Carvings of apsara in dancing form,0,Tamil Nadu Chola_I143.png,True
1,0,Forehead,223,80,,0,Tamil Nadu Chola_I143.png,False
2,1,Nose,229,100,,0,Tamil Nadu Chola_I143.png,False
3,1,Mouth,232,108,,0,Tamil Nadu Chola_I143.png,False
4,1,Left Eye,209,92,,0,Tamil Nadu Chola_I143.png,False
5,1,Right Eye,240,93,,0,Tamil Nadu Chola_I143.png,False
6,1,Left Ear,182,113,,0,Tamil Nadu Chola_I143.png,False
7,1,Right Ear,263,129,,0,Tamil Nadu Chola_I143.png,False
8,1,Left Shoulder,263,146,,0,Tamil Nadu Chola_I143.png,True
9,8,Left Elbow,318,142,,0,Tamil Nadu Chola_I143.png,False
10,9,Left Wrist,352,119,,0,Tamil Nadu Chola_I143.png,False
11,1,Right Shoulder,177,147,,0,Tamil Nadu Chola_I143.png,False
12,11,Right Elbow,135,140,,0,Tamil Nadu Chola_I143.png,False
13,12,Right Wrist,94,135,,0,Tamil Nadu Chola_I143.png,False
14,1,Left Hip,245,221,,0,Tamil Nadu Chola_I143.png,False
15,14,Left Knee,128,299,,0,Tamil Nadu Chola_I143.png,False
16,15,Left Ankle,105,222,,0,Tamil Nadu Chola_I143.png,False
17,1,Right Hip,207,214,,0,Tamil Nadu Chola_I143.png,False
18,17,Right Knee,291,252,,0,Tamil Nadu Chola_I143.png,False
19,18,Right Ankle,317,339,,0,Tamil Nadu Chola_I143.png,False
0,-1,Root,0,0,Stone statue of Woman in right corner,1,Tamil Nadu Chola_I143.png,True
1,0,Forehead,50,211,,1,Tamil Nadu Chola_I143.png,False
2,1,Nose,56,223,,1,Tamil Nadu Chola_I143.png,False
3,1,Mouth,58,230,,1,Tamil Nadu Chola_I143.png,False
4,1,Left Eye,63,218,,1,Tamil Nadu Chola_I143.png,False
5,1,Right Eye,42,221,,1,Tamil Nadu Chola_I143.png,False
6,1,Left Ear,72,234,,1,Tamil Nadu Chola_I143.png,True
7,1,Right Ear,31,248,,1,Tamil Nadu Chola_I143.png,False
8,1,Left Shoulder,33,271,,1,Tamil Nadu Chola_I143.png,True
9,8,Left Elbow,55,270,,1,Tamil Nadu Chola_I143.png,False
10,1,Right Shoulder,86,250,,1,Tamil Nadu Chola_I143.png,False
11,10,Right Elbow,92,278,,1,Tamil Nadu Chola_I143.png,False
12,11,Right Wrist,75,266,,1,Tamil Nadu Chola_I143.png,False
13,1,Left Hip,86,299,,1,Tamil Nadu Chola_I143.png,True
14,13,Left Knee,83,321,,1,Tamil Nadu Chola_I143.png,False
15,14,Left Ankle,87,341,,1,Tamil Nadu Chola_I143.png,False
0,-1,Root,0,0,2nd woman in the left corner,2,Tamil Nadu Chola_I143.png,True
1,0,Forehead,354,200,,2,Tamil Nadu Chola_I143.png,False
2,1,Nose,353,212,,2,Tamil Nadu Chola_I143.png,False
3,1,Mouth,354,219,,2,Tamil Nadu Chola_I143.png,False
4,1,Left Eye,362,208,,2,Tamil Nadu Chola_I143.png,False
5,1,Right Eye,347,207,,2,Tamil Nadu Chola_I143.png,False
0,-1,Root,0,0,Metal statue of Monkey god in standing pose,0,Tamil Nadu Chola_I144.png,True
1,0,Forehead,207,71,,0,Tamil Nadu Chola_I144.png,False
2,1,Nose,213,90,,0,Tamil Nadu Chola_I144.png,False
3,1,Mouth,212,103,,0,Tamil Nadu Chola_I144.png,False
4,1,Left Eye,220,80,,0,Tamil Nadu Chola_I144.png,False
5,1,Right Eye,196,83,,0,Tamil Nadu Chola_I144.png,False
6,1,Left Ear,221,109,,0,Tamil Nadu Chola_I144.png,True
7,1,Right Ear,175,80,,0,Tamil Nadu Chola_I144.png,False
8,1,Left Shoulder,242,126,,0,Tamil Nadu Chola_I144.png,False
9,8,Left Elbow,250,205,,0,Tamil Nadu Chola_I144.png,False
10,9,Left Wrist,242,179,,0,Tamil Nadu Chola_I144.png,False
11,1,Right Shoulder,144,119,,0,Tamil Nadu Chola_I144.png,False
12,11,Right Elbow,137,191,,0,Tamil Nadu Chola_I144.png,False
13,12,Right Wrist,160,156,,0,Tamil Nadu Chola_I144.png,False
14,1,Left Hip,199,223,,0,Tamil Nadu Chola_I144.png,False
15,14,Left Knee,215,303,,0,Tamil Nadu Chola_I144.png,False
16,15,Left Ankle,215,376,,0,Tamil Nadu Chola_I144.png,False
17,1,Right Hip,149,215,,0,Tamil Nadu Chola_I144.png,False
18,17,Right Knee,169,308,,0,Tamil Nadu Chola_I144.png,False
19,18,Right Ankle,176,374,,0,Tamil Nadu Chola_I144.png,False
0,-1,Root,0,0,Stone carvings of woman standing position,0,Tamil Nadu Chola_I145.png,True
1,0,Forehead,199,135,,0,Tamil Nadu Chola_I145.png,False
2,1,Nose,202,170,,0,Tamil Nadu Chola_I145.png,False
3,1,Mouth,207,184,,0,Tamil Nadu Chola_I145.png,False
4,1,Left Eye,220,152,,0,Tamil Nadu Chola_I145.png,False
5,1,Right Eye,189,157,,0,Tamil Nadu Chola_I145.png,False
6,1,Left Ear,166,146,,0,Tamil Nadu Chola_I145.png,True
7,1,Right Ear,246,146,,0,Tamil Nadu Chola_I145.png,True
8,1,Left Shoulder,275,223,,0,Tamil Nadu Chola_I145.png,False
9,8,Left Elbow,302,357,,0,Tamil Nadu Chola_I145.png,False
10,9,Left Wrist,291,431,,0,Tamil Nadu Chola_I145.png,False
11,1,Right Shoulder,149,215,,0,Tamil Nadu Chola_I145.png,False
12,11,Right Elbow,138,293,,0,Tamil Nadu Chola_I145.png,True
13,12,Right Wrist,128,332,,0,Tamil Nadu Chola_I145.png,False
14,1,Left Hip,268,406,,0,Tamil Nadu Chola_I145.png,False
15,14,Left Knee,252,559,,0,Tamil Nadu Chola_I145.png,False
16,15,Left Ankle,255,674,,0,Tamil Nadu Chola_I145.png,False
17,1,Right Hip,154,389,,0,Tamil Nadu Chola_I145.png,False
18,17,Right Knee,183,572,,0,Tamil Nadu Chola_I145.png,False
19,18,Right Ankle,204,675,,0,Tamil Nadu Chola_I145.png,False
0,-1,Root,0,0,Stsnding figure without proper distinct attributes,0,Tamil Nadu Chola_I147.png,True
0,-1,Root,0,0,Metal sculpture of Indian gods and goddesses probably shiva and parvati,0,Tamil Nadu Chola_I140.png,True
1,0,Forehead,234,111,,0,Tamil Nadu Chola_I140.png,False
2,1,Nose,231,135,,0,Tamil Nadu Chola_I140.png,False
3,1,Mouth,232,142,,0,Tamil Nadu Chola_I140.png,False
4,1,Left Eye,242,120,,0,Tamil Nadu Chola_I140.png,False
5,1,Right Eye,220,120,,0,Tamil Nadu Chola_I140.png,False
6,1,Left Ear,261,119,,0,Tamil Nadu Chola_I140.png,False
7,1,Right Ear,207,117,,0,Tamil Nadu Chola_I140.png,False
8,1,Left Shoulder,276,171,,0,Tamil Nadu Chola_I140.png,False
9,8,Left Elbow,274,206,,0,Tamil Nadu Chola_I140.png,True
10,9,Left Wrist,338,260,,0,Tamil Nadu Chola_I140.png,True
11,1,Right Shoulder,179,162,,0,Tamil Nadu Chola_I140.png,False
12,11,Right Elbow,146,225,,0,Tamil Nadu Chola_I140.png,False
13,12,Right Wrist,162,233,,0,Tamil Nadu Chola_I140.png,False
14,11,Right Elbow,146,208,,0,Tamil Nadu Chola_I140.png,False
15,14,Right Wrist,115,187,,0,Tamil Nadu Chola_I140.png,False
16,1,Left Hip,240,262,,0,Tamil Nadu Chola_I140.png,False
17,16,Left Knee,233,363,,0,Tamil Nadu Chola_I140.png,False
18,17,Left Ankle,234,447,,0,Tamil Nadu Chola_I140.png,False
19,1,Right Hip,184,248,,0,Tamil Nadu Chola_I140.png,False
20,19,Right Knee,188,372,,0,Tamil Nadu Chola_I140.png,False
21,20,Right Ankle,198,446,,0,Tamil Nadu Chola_I140.png,False
0,-1,Root,0,0,Metal statue of Indian goddess with her partner probably Parvati,1,Tamil Nadu Chola_I140.png,True
1,0,Forehead,311,169,,1,Tamil Nadu Chola_I140.png,False
2,1,Nose,312,188,,1,Tamil Nadu Chola_I140.png,False
