id,pid,type,x,y,attr,person,img_id,hidden
0,-1,Root,0,0,11,0,im3.png,True
1,0,Forehead,715,184,,0,im3.png,False
2,1,Nose,736,322,,0,im3.png,False
3,1,Mouth,651,414,,0,im3.png,False
0,-1,Root,0,0,12,1,im3.png,True
1,0,Forehead,708,165,,1,im3.png,False
2,1,Nose,1162,76,,1,im3.png,False
3,1,Mouth,1143,519,,1,im3.png,False
0,-1,Root,0,0,11,0,im5.png,True
1,0,Forehead,760,174,,0,im5.png,False
2,1,Nose,765,298,,0,im5.png,False
3,1,Mouth,769,454,,0,im5.png,False
0,-1,Root,0,0,12,1,im5.png,True
1,0,Forehead,1120,162,,1,im5.png,False
2,1,Nose,1128,279,,1,im5.png,False
3,1,Mouth,1134,361,,1,im5.png,False
0,-1,Root,0,0,13,2,im5.png,True
1,0,Forehead,241,160,,2,im5.png,False
2,1,Nose,253,285,,2,im5.png,False
3,1,Mouth,250,388,,2,im5.png,False
0,-1,Root,0,0,11,0,im10.png,True
1,0,Forehead,654,184,,0,im10.png,False
2,1,Nose,654,187,,0,im10.png,False
0,-1,Root,0,0,12,1,im10.png,True
1,0,Forehead,1050,175,,1,im10.png,False
2,1,Nose,1050,232,,1,im10.png,False
0,-1,Root,0,0,13,2,im10.png,True
1,0,Forehead,264,198,,2,im10.png,False
2,1,Nose,264,313,,2,im10.png,False
0,-1,Root,0,0,11,0,im6.png,True
1,0,Forehead,727,210,,0,im6.png,False
2,1,Nose,727,301,,0,im6.png,False
0,-1,Root,0,0,12,1,im6.png,True
1,0,Forehead,1024,214,,1,im6.png,False
2,1,Nose,1023,384,,1,im6.png,False
0,-1,Root,0,0,13,2,im6.png,True
1,0,Forehead,249,213,,2,im6.png,False
2,1,Nose,244,261,,2,im6.png,False
0,-1,Root,0,0,21,0,im7.png,True
1,0,Forehead,757,231,,0,im7.png,False
2,1,Nose,757,264,,0,im7.png,False
0,-1,Root,0,0,31,0,im8.png,True
1,0,Forehead,691,228,,0,im8.png,False
2,1,Nose,691,337,,0,im8.png,False
0,-1,Root,0,0,32,1,im8.png,True
1,0,Forehead,874,231,,1,im8.png,False
2,1,Nose,871,361,,1,im8.png,False
0,-1,Root,0,0,41,0,im9.png,True
1,0,Forehead,852,309,,0,im9.png,False
2,1,Nose,844,376,,0,im9.png,False
