img_id,is_ok,status,remarks
Tamil Nadu Chola_I148.png,True,Accepted,Accepted
Tamil Nadu Chola_I150.png,False,Rejected,second hands on each side not annotated
Tamil Nadu Chola_I190.png,True,Accepted,Accepted
Tamil Nadu Chola_I191.png,False,Rejected,person 1: both knees connected to the same ankle
Tamil Nadu Chola_I192.png,True,Accepted,Accepted
Tamil Nadu Chola_I193.png,False,Rejected,Accepted
Tamil Nadu Chola_I194.png,True,Accepted,Accepted
Tamil Nadu Chola_I195.png,True,Accepted,Accepted
Tamil Nadu Chola_I196.png,False,Rejected,right ear is too low. Select top of pinna
Tamil Nadu Chola_I197.png,True,Accepted,Accepted
Tamil Nadu Chola_I198.png,True,Accepted,Accepted
Tamil Nadu Chola_I199.png,True,Accepted,Accepted
Tamil Nadu Chola_I200.png,True,Accepted,Accepted
Tamil Nadu Chola_I201.png,False,Rejected,side faces annotated as a different person. Add them as additional foreheads of person 1
Tamil Nadu Chola_I202.png,True,Accepted,Accepted
Tamil Nadu Chola_I203.png,True,Accepted,Accepted
Tamil Nadu Chola_I204.png,True,Accepted,Accepted
Tamil Nadu Chola_I205.png,True,Accepted,Accepted
Tamil Nadu Chola_I206.png,False,Rejected,right ear is too low
Tamil Nadu Chola_I207.png,False,Rejected,right ear is too low
Tamil Nadu Chola_I208.png,False,Rejected,right ear is too low
Tamil Nadu Chola_I209.png,False,Rejected,extra left knees
Tamil Nadu Chola_I210.png,True,Accepted,Accepted
Tamil Nadu Chola_I211.png,True,Accepted,Accepted
Tamil Nadu Chola_I212.png,True,Accepted,Accepted
Tamil Nadu Chola_I213.png,False,Rejected,extra left knees
Tamil Nadu Chola_I214.png,True,Accepted,Accepted
Tamil Nadu Chola_I215.png,True,Accepted,Accepted
Tamil Nadu Chola_I216.png,True,Accepted,Accepted
Tamil Nadu Chola_I217.png,True,Accepted,Accepted
Tamil Nadu Chola_I218.png,False,Rejected,extra right elbow
Tamil Nadu Chola_I219.png,True,Accepted,Accepted
Tamil Nadu Chola_I220.png,True,Accepted,Accepted
Tamil Nadu Chola_I221.png,True,Accepted,Accepted
Tamil Nadu Chola_I222.png,True,Accepted,Accepted
Tamil Nadu Chola_I223.png,True,Accepted,Accepted
Tamil Nadu Chola_I224.png,True,Accepted,Accepted
Tamil Nadu Chola_I225.png,False,Rejected,one right arm missing
Tamil Nadu Chola_I226.png,True,Accepted,Accepted
Tamil Nadu Chola_I227.png,True,Accepted,Accepted
Tamil Nadu Chola_I228.png,True,Accepted,Accepted
Tamil Nadu Chola_I229.png,True,Accepted,Accepted
Tamil Nadu Chola_I230.png,True,Accepted,Accepted
Tamil Nadu Chola_I231.png,True,Accepted,Accepted
Tamil Nadu Chola_I232.png,True,Accepted,Accepted
Tamil Nadu Chola_I234.png,False,Rejected,extra left knee
Tamil Nadu Chola_I235.png,True,Accepted,Accepted
